Userid,Event Name,Latitude,Longitude,Tweet Timestamp,Event Timestamp,Hashtags,Category (for our reference),Emotion,Uncertainity,NPMI,Link_Ratio,Hashtag_Ratio,User_Credibility,User_Diversity,Degree_Centrality,Tweet_Similarity,PMI
blissfulChowder5,FIFA World Cup,51.86039,41.90063,10/23/2022 17:01,10/29/2022 20:24,#fifa #football #soccer #messi #ronaldo #championsleague #futbol #fifaultimateteam #fifacoins #scififantasy #fifa2023,Sports,happy,0.84341458,0.8039842027977194,0.2866837641049715,0.2589514485651317,0.6156670033547478,0.1698870429239264,0.8514019407281694,0.2703007299180321,-0.05421069888507435
curiousPie7,Munich show,1.891854,-32.1458,10/23/2022 2:18,10/30/2022 3:43,#LouisTomlinson #isaacanderson #Social Gathering,Social Gathering,happy,0.444300298,0.9433464300265769,0.35336469134101767,0.7174657876598172,0.11227541127208322,0.4061866896859392,0.9783388891897398,0.45471230188534995,-0.8082679585584802
solidOryx5,Thanks Giving 2022,80.18668,71.16487,10/31/2022 18:08,10/30/2022 11:37,#thanksgiving #pumpkinpie #happythanksgivng #thanksgivingdinner #stuffing #thanksgiving2022,Social Gathering,joy,0.451361791,0.4269834175017675,0.4676386142173661,0.3189152117660394,0.7142621733765612,0.9577465407135942,0.21905413675441093,0.44877509038225516,0.954299025001146
solidDoves5,Independence Day,6.586623,84.81801,10/30/2022 13:07,10/30/2022 11:58,#photography #redwhiteandblue #jaihind #patriotic #pakistan #independencedayindia #photooftheday #indianarmy #celebration #summer #bhfyp #follow,Public holidays,happy,0.509255988,0.19283237371653172,0.5255455356713146,0.547194210280077,0.6812287070772205,0.5016983120462951,0.1020367121071676,0.8208270184925648,-0.43008203792047905
cruelPear2,Womens World Cup,-82.1517,28.19659,10/18/2022 22:49,10/30/2022 20:56,#womensworldcup #soccer #worldcup #football #uswnt #womenssoccer #fifa #womensfootball #alexmorgan #meganrapinoe #tobinheath #christenpress #lindseyhoran #soccerskills,Sports,happy,0.761612808,0.38358695715294744,0.7356540281046123,0.8364008781279336,0.21226138640710424,0.7837816672592259,0.6146292335812347,0.7733136687706418,-0.5273414468163897
trustingMare3,FINA World Swimming Championships (25m),13.39342,111.5908,10/23/2022 7:05,10/30/2022 21:20,#fina #swimming #swim #swimmer #o #swimmerslife #sport #iloveswimming #moda #swimwear #swimlife #waterpolo #tokyo #follow #fitness #swim25m,Social Gathering,happy,0.760484386,0.18422751208438243,0.3934220311168627,0.39793643557557146,0.3622002285036916,0.7290155460830869,0.925429965870611,0.5655342098761152,-0.6263791388667318
worriedSnail5,Halloween Party,-15.7663,-130.417,10/29/2022 23:59,10/31/2022 1:05,#horrorart #horrorfan #halloweenparty #horrormovies #trickortreat #halloweenmakeup,Social Gathering,fear,0.630063652,0.8539246891484372,0.9092169406685631,0.7942223244362143,0.21366115916196132,0.8001364075716585,0.16867713542426332,0.6290454750058639,0.10113792558807888
puzzledCrackers2,Thanks Giving,3.363116,141.5648,10/23/2022 0:15,10/31/2022 1:17,#thanksgiving #thanks #giving #socialenvy #turkeyday #turkey #christmas #thanksgivingdinner  #gratitude #holidays #givethanks #halloween #fun #enjoy,Public holidays,happy,0.82742443,0.30252830468543823,0.9531383048470795,0.7067079306725417,0.561959757776333,0.703698146672919,0.2049628307797493,0.8234185185427939,0.8891917379183476
hushedChough4,Thanks Giving 2022,14.9451,47.56519,10/19/2022 14:51,10/31/2022 5:06,#Fairmont #Scottsdale #stuffing #thanksgiving2022 #thanksgivingeve #thanksgivingdecor #thanksgivingclapback #thanksgivingtable,Social Gathering,joy,0.729620788,0.15373807733386008,0.2925131472082432,0.6890784761268519,0.8498546571015929,0.7638443658270818,0.15099986778364083,0.7704846995893716,0.1684402163842018
empathicFalcon3,WAR campaign,52.57082,25.59319,10/21/2022 8:45,10/31/2022 7:14,#VietnamWar #war #home #family,Summit,anger,0.571610167,0.3774282654057254,0.36208560618472696,0.1246118219006277,0.9035167236019214,0.17283255459129426,0.5116078454274962,0.3589116880330131,0.4241714802402352
chicBagels1,Thanks Giving 2022,-38.4408,-20.4277,10/25/2022 19:13,10/31/2022 8:34,#stuffing #thanksgiving2022 #thanksgivingclapback #thanksgivingfeast #thanksgivingbreak,Social Gathering,joy,0.708571433,0.2779099078591867,0.4703180277684025,0.861430791893229,0.34677543800584837,0.5593022350851103,0.786404500680155,0.4164344706209887,0.6380589359831945
trustingGatorade6,Labor Day,-4.9185,122.6146,10/22/2022 2:46,10/31/2022 11:45,#laborday #labordayweekend #happylaborday #labordaysale #summer #longweekend #sale ,Public holidays,happy,0.95654054,0.18535389924385354,0.11439802622731048,0.6838163789100173,0.199384303277451,0.1383982959649636,0.2903607192479136,0.8056045333911154,-0.42360152593051836
curiousCheetah5,Thanks Giving 2022,67.62084,-16.8178,10/28/2022 11:30,10/31/2022 14:44,#thanksgiving2022 #thanksgivingweek #thanksgivingfeast #thanksgivingclapback #thanksgivingfeast #Fairmont #Scottsdale ,Social Gathering,joy,0.875190927,0.22438085641725847,0.6132009118096161,0.21090563973359538,0.9675158708853455,0.4271303137401735,0.32045098217662626,0.8053245797325448,0.3471673685949601
abjectMackerel6,Thanks Giving 2022,-12.9402,-41.7113,10/18/2022 15:15,10/31/2022 17:00,#thanksgivingdinner #stuffing #thanksgiving2022 #thanksgivingweekend #thanksgivingbreak #thanksgivingeve #thanksgivingdecor,Social Gathering,happy,0.985990365,0.2160661194813175,0.429105159543407,0.6878519740256448,0.3323922567403361,0.23538625250621162,0.5165585990077478,0.8169114327900814,0.01806214227788394
murkyJaguar6,Halloween Party,9.360278,-167.335,10/27/2022 21:05,10/31/2022 19:25,#pumpkinpie #celebrate #fun #stuffing #pumpkin #holidayseason #happy #falldecor #spookyseason #vampire #zombie #ghost #halloween,Social Gathering,happy,0.392425802,0.9091324944285825,0.8909291263890852,0.9009988710337284,0.6075818865202989,0.5664805405691764,0.6655224507019348,0.2685606708410019,-0.6525797628033305
mildPaella4,T20WorldCup2022,-0.00178,144.1338,10/22/2022 19:36,10/31/2022 20:07,#INDvsAUS #T20WorldCup2022 #Trending,Sports,happy,0.965321787,0.36937680240592174,0.13287804288436983,0.9736218726725834,0.6393769861399446,0.6479770636809141,0.972757583874147,0.3541594046457699,-0.14119154641148812
wingedPiglet7,Halloween Party,-41.1518,121.2777,10/20/2022 10:00,10/31/2022 20:57,#halloweenvibes #halloweeniscoming #halloweenmakeup #halloweencostume #halloweenparty #halloweenart #ghost,Social Gathering,fear,0.770719284,0.9701179296021584,0.4983518271907631,0.25984448153245376,0.7607914179733393,0.5804373020574344,0.7243703790303908,0.6268851760099153,-0.42840422645598686
aloofDoves4,Soccer Legion,-4.67709,-133.007,10/27/2022 4:30,10/31/2022 21:16,#soccer #ball #futbol #envywear,Social Gathering,happy,0.564800719,0.5952460030353773,0.6849167878623349,0.7057158524586059,0.9443455109093212,0.8650189427737444,0.22764959453270148,0.2157539595275676,-0.299904374283823
somberStork8,Paris Strike,48.56669,155.4672,10/30/2022 18:38,10/31/2022 22:29,#BreakingNews #UltimaHora #Francia #Strike #Greve18Octobre #Huelga,Protest,happy,0.595167897,0.6683272079037148,0.6550238244275942,0.9042301203742966,0.4539916337132236,0.41445824764571504,0.6010000503318017,0.5887005559662253,0.9041829630584466
needyDinosaur5,Columbus Day,14.94252,15.35597,10/28/2022 9:17,10/31/2022 22:40,#columbusday #christophercolumbus #columbus #history #protectcolumbus #indigenous #october #repost #usa #italy #nyc #italianamericans #a #cristobalcolon #monday #italianheritage #holiday #knowcolumbus #spain #italoamericani #halloween,Public holidays,happy,0.784170343,0.1982223003103588,0.1996357544676968,0.533520851383269,0.7978227526200143,0.32105895904535176,0.1024890370349735,0.6542872243629838,0.19419138550433424
anxiousTermite3,Halloween Party,76.86266,-68.6951,10/28/2022 22:17,10/31/2022 23:41,#halloweencostume #halloween #spooky #horror #spookyseason #stuffing #pumpkin #holidayseason,Social Gathering,fear,0.337766602,0.7256193395977685,0.36723014193021586,0.35717641542580114,0.7001327271292205,0.7415899904773111,0.3779700024853342,0.6512494171891203,0.3293657393430798
enviousChowder7,Commonwealth Games,-29.9445,113.7959,10/31/2022 4:39,11/1/2022 16:37,#games #onthisday #wrestling #badmintonplayer #olympian #badmintonindia #worldathletics #indianathlete #prideofindia #adidas #sportlife #gymnast #srilanka #vineshphogat #badmintonindonesia #wrestler,Sports,happy,0.32158119,0.646806355794425,0.42346748128970724,0.8462218462886049,0.9285710450452008,0.1610285007220783,0.10294202223256177,0.8725991724038931,-0.15303940917900416
abjectViper6,All Saint's Day,2.412618,86.34412,10/28/2022 15:16,11/1/2022 19:25,#allsaintsday #halloween  #diadelosmuertos #dayofthedead #allsoulsday,Social Gathering,happy,0.783225161,0.3537212708586118,0.30992136137565063,0.1847769101231135,0.1555292939615223,0.3617160126491066,0.8405204096705905,0.7174634007737819,0.18425478771168424
hushedCurlew3,Kpop,25.20691,-30.2118,10/24/2022 22:53,11/2/2022 0:37,#elastincostarica #ELAST #kpop #Social Gathering,Social Gathering,joy,0.876107833,0.4415742955767725,0.7317427373691342,0.23565999171371543,0.7095473647435168,0.1555042342733381,0.32349664626903796,0.4906604361221545,0.2095208300530076
excitedMallard5,Juneteenth,73.65787,-159.344,10/28/2022 11:05,11/2/2022 6:54,#juneteenth #blacklivesmatter #blm #blackhistory #juneteenthcelebration #blackgirlmagic #blackownedbusiness #freedom #love #blackexcellence #explorepage #black #melanin #blackowned #blacklove #buyblack #june,Public holidays,happy,0.595173143,0.4021763314040101,0.8297073454424556,0.33425868878185006,0.8209591158043337,0.9612762724060316,0.5104650200977325,0.1455149167961892,-0.3569787353816707
cruelPear2,Motor Traffic,40.36957,-10.4354,10/24/2022 18:27,11/2/2022 14:49,#Traffic#Bonkers@WelshGovernment@CarmsCouncil@NiaGriffithMP,Traffic,happy,0.871029354,0.44791671808038647,0.5688368160475626,0.7904969525513258,0.41729598513049204,0.1774595342805907,0.9069544637801578,0.29201768991154076,-0.8109033064047921
mellowDoves9,Cherry Creek Arts Festival,-42.2939,65.37626,10/27/2022 1:35,11/2/2022 17:53,#CherryArts #CherryCreekArtsFestival and #ArtforEveryone,Social Gathering,happy,0.708171863,0.11218328379323231,0.6583046249922087,0.9546861775658397,0.8543036798763853,0.10791825874938771,0.7703561059104392,0.7095493381906236,-0.8663484675980133
goofyCoconut0,Juneteenth,39.74001,32.31675,10/19/2022 9:19,11/2/2022 20:38,#blacklove #buyblack #june #blackpower #atlanta #happyjuneteenth #georgefloyd #supportblackbusiness #fashion #blackbusiness #art #th #explore #blackisbeautiful #music #repost,Public holidays,happy,0.985047703,0.12529281010378146,0.5171157491530287,0.5396884606577186,0.13162616830613397,0.48810250209667694,0.9472417459197507,0.38927539295192604,0.8427363085868156
worriedIguana1,ICAI,30.21832,67.95138,10/22/2022 7:47,11/2/2022 21:19,#ICAI #Convocation #convocationindore #convocation2022,Summit,happy,0.823994776,0.7617379021958428,0.17048127154456721,0.8810107895920151,0.2418595069530366,0.8586943451259491,0.4518256561260581,0.9174866537408175,-0.3024662217059749
amazedOil0,ICML 2022 (Tech conference),60.2076,3.941237,10/18/2022 9:54,11/2/2022 23:50,#icml #icml2022 #machineLearning #cybersecurity #digitaltransformation #softwaredeveloper #code #neuralnetworks #computer #php #hawaii #research #ieee,Summit,happy,0.696799742,0.6080938413105879,0.6585863747900008,0.6289341345146623,0.3471309156367606,0.6170762856710399,0.27258698241823603,0.749690599196351,-0.3985017220724889
fondMeerkat5,Film Festival,-85.0583,-119.054,10/26/2022 17:56,11/3/2022 10:35,#AdirondackFilmFestival #LakePlacidFilmFestival #Free #Summit #Filmmakers,Summit,happy,0.843091094,0.42327061433529245,0.3489340237995039,0.13211318481827056,0.5784954176928703,0.4918718763080162,0.826645578923814,0.5535623147410904,0.5317483668533736
excludedSalt1,Memorial,-18.823,-179.371,11/1/2022 17:02,11/3/2022 12:46,#olympics #TeamCanada #CDNParalympics,Public Holidays,sadness,0.500990665,0.6019034491436451,0.979652248129297,0.6390051519207051,0.46083185846720787,0.40954487556363806,0.5465408259889394,0.12729332907316898,0.156769859413336
lyingWeaver1,Marine Cops Training,-78.7545,26.9761,10/29/2022 12:21,11/3/2022 16:20,#Marines #USMC #military,political,happy,0.358749687,0.14295665539009855,0.44610719681503697,0.8642763865934947,0.2221562470224209,0.44762249346474003,0.2677650616932773,0.38677187453289186,-0.5659047696564228
cynicalHyena7,Arizona Weather forecast,-70.6232,-174.687,10/25/2022 22:52,11/4/2022 2:48,#arizonaweather #arizona #azliving #arizonalife #arizonaliving #azweather #scottsdalearizona #arizonadesert #mesaaz #gilbertarizona #azlife #arizonahomes #arizonarealestate #gilbertaz,Weather forecast,happy,0.803083693,0.37828888328623833,0.6752806461878799,0.9070677847218499,0.8762053504186318,0.24769602823042342,0.8057059825506772,0.8545809160252555,-0.5087087834686886
yearningApples5,BMS Talk,-67.1328,58.31093,10/29/2022 6:25,11/4/2022 3:04,#mycology #research #events #Summit #fungi #mushrooms,Summit,happy,0.762805249,0.14332470385315804,0.12241021553007965,0.48442848109692727,0.4574974947752265,0.7917028771004608,0.4482294681977782,0.45548409216789154,-0.5315396990758401
trustingMare3,US Open,-13.4027,-109.674,10/24/2022 23:04,11/4/2022 7:05,#nike #zverev #newyork #delpotro #goat #tennislover #andymurray #tsitsipas #nole #adidas #emmaraducanu #thiem #nolefam #medvedev #fitness,Sports,happy,0.356284945,0.44040682380965634,0.52197690788339,0.7142539719508564,0.5013217768239286,0.14265254547181572,0.7152810196407151,0.3715284945968006,-0.7447766311880986
mereFalcon0,Phoenix - Anubhav Singh Bassi Live ,85.20933,-25.0267,10/23/2022 15:10,11/4/2022 8:36,#anubhavsinghbassi #memes #standupcomedy #memesdaily #zakirkhan #abhishekupmanyu #standup #hindimemesbelike #beabassi #meme #funnymemes #standupcomedian #akashgupta #follow #aib #iitdelhi #iitkanpur #modimemes #indianstandup #modi #amityuniversity #standupcomic,Summit,happy,0.517794314,0.7067962340545337,0.5269048923610279,0.7873205607911001,0.24231249536137284,0.5698747140007996,0.651666318697234,0.9373428962018039,0.38890253056080026
needyDinosaur5,The Dark Side of the Void event,50.99668,60.46082,10/22/2022 22:29,11/4/2022 12:16,#OutlandOdyssey #ProjectSEED #Gaming #Game #GameFi #NFT #RPG,Social Gathering,surprise,0.929889197,0.70612515569688,0.491199935121614,0.6658466939314444,0.12903885310643276,0.4527085139672784,0.8313598852948728,0.8271632224130329,-0.021058918407239613
aboardSheep3,Skydiving,-62.8265,159.4863,10/28/2022 16:19,11/4/2022 12:38,#skydiving #extremesports,Sports,happy,0.824856676,0.4550800714107518,0.9459987108720425,0.652400014489312,0.6791834642373089,0.8175405367745495,0.5407130507043479,0.8816214276381439,0.8806977745782052
grizzledWidgeon2,Independence Day,-71.5264,-134.743,10/28/2022 10:18,11/4/2022 15:00,#independenceday #thofjuly #india #july #th #freedom #august #fourthofjuly #usa #love #happy #happyindependenceday #independence #america #fireworks #india,Public holidays,happy,0.739945746,0.20885345900855742,0.16602324256456286,0.21539608093278367,0.8102252476516246,0.8434045388929977,0.4840053915324143,0.2577165156103704,0.7744617116051726
mildPaella4, special corporate Seminar,88.39103,77.14847,10/23/2022 18:02,11/4/2022 16:43,#Summit #Corporate #UAE #Business #Success #JohnOfThings,Summit,happy,0.402953585,0.13387456505561768,0.42125184645235814,0.39845132907998826,0.6591199272667717,0.37944087037822516,0.4264191794913883,0.7200515743534588,-0.6715937405115746
insecurePonie7,Platinum Jubilee Bank Holiday,-49.5004,-128.035,10/18/2022 20:43,11/4/2022 23:15, #PlatinumJuiblee #HM70,Public holidays,happy,0.880949513,0.26075314654532467,0.7673098991470451,0.7527563230921703,0.5506804093821108,0.5261669413943332,0.20691338945314663,0.6922376712537803,-0.37521507875583837
selfishSmelt6,Polkacity Metaverse,35.95476,25.17673,10/25/2022 9:37,11/4/2022 23:47,#metaverse #polc #NFT #Contest #game,Social Gathering,happy,0.80061949,0.7053957879682956,0.8125035207954924,0.9087686071443195,0.8612957027669655,0.6863023746751531,0.4855714761487727,0.3140937921351028,0.930227735097815
wornoutFlamingo8,Champions League,19.69388,178.1894,10/23/2022 21:44,11/5/2022 8:33,#BarcelonaNapoli #UEFA #Chammpions,Sports,happy,0.485927821,0.3511752926770587,0.3814408889674902,0.24166288931419425,0.8033118844980685,0.492860502400276,0.7380076283292959,0.4474935503841535,0.33134102727888703
boredBuck1,Kuttiyatam,-88.1117,11.81579,10/26/2022 5:56,11/5/2022 10:27,#ICCR #Kalamandalam #Watch,Social Gathering,happy,0.422615087,0.45914092522834526,0.7347485808289642,0.8552453353742064,0.23717534336375773,0.7887228552930627,0.2742698738233035,0.12218279900372739,-0.3209605119541207
gutturalTacos8,Columbus day,-67.4677,38.73876,10/21/2022 22:20,11/5/2022 12:26,#columbusday #christophercolumbus #columbus #indigenouspeoplesday #america #nativeamerican #italianamerican #savecolumbus #cristoforocolombo #italia #savecolumbusday #columbusdayweekend,Public holidays,happy,0.904013335,0.2348578653637388,0.9173944257066596,0.217314099743727,0.48829899921479647,0.3695750231156434,0.41728364214041536,0.4855607520038826,-0.5284508612096326
lyingWeaver1,Strike Finland,-43.5657,-26.4861,10/31/2022 2:59,11/5/2022 14:41,#Russia #AtrocitiesOfKremlin #War #Kremlin #Putin #closethesky,Protest,happy,0.62131639,0.16690902501264293,0.4033779302433659,0.31564599209572886,0.8648531690281199,0.3517095652274207,0.987687729317027,0.8004436432039395,0.49333163207249897
dejectedMuesli6,Skydiving,-59.7813,-2.00791,10/26/2022 22:56,11/5/2022 17:09,#PalmJumeirah #Flock #MondayMotivation #Skydiving #Travel #MyDubai #SkydiveDubai,Sports,happy,0.795451437,0.6092091262493063,0.3617797584372119,0.2034566225787231,0.23481750722121314,0.6235422025966985,0.611682315033739,0.6526525484788811,-0.3913535990886383
lazyApples3,LandScape 2022,-81.8693,19.30772,10/30/2022 1:44,11/5/2022 18:03,#Summit #seminar #cpd #LANDSCAPE2022 #thenec #cpd #cpdSummit #eventslife #eventsvenue,Summit,happy,0.857533039,0.16173588361319777,0.24749306654126843,0.9536583721210411,0.5429890739755012,0.5416819329284324,0.4012097761497735,0.2822273877521454,-0.4894143766187443
solidOryx5,China town Traffic,27.92889,-45.8918,10/27/2022 21:55,11/5/2022 19:23,#Toronto #chinatown #streetphotography #signage #traffic #photo #photography #sign,Traffic,anger,0.621563588,0.19730559519121335,0.31852963156650826,0.7028208448777363,0.715643762090608,0.936548486766454,0.23136872719463214,0.2971419452247769,0.2932667431318423
wornoutFlamingo8,Commonwealth Games,-17.1059,55.60054,10/29/2022 8:28,11/5/2022 22:44,#weightlifting #sprinter #olympicgames #indian #gc #theflyingsikh #pvsindhu #sainanehwal #shooting #gold #instasports #legend #badmintonlovers #teamengland #games #onthisday #wrestling #badmintonplayer #olympian #badmintonindia #worldathletics #indianathlete #prideofindia #adidas #sportlife #gymnast #srilanka #vineshphogat #badmintonindonesia #wrestler,Sports,anger,0.785786521,0.8525976197759271,0.11769016314913724,0.6672438849178048,0.6587570586015112,0.6691229646813093,0.5190709917457985,0.19230472815666494,0.0629002741136071
pitifulOtter9,Mumbai Traffic updates,-58.1856,-137.469,10/21/2022 21:25,11/5/2022 23:02,#monsoon #nature #india #rain #photography #naturephotography #monsoonseason #travel #rainyday #mumbai #instagram #maharashtra #love #instagood #ig #clouds #photooftheday #incredibleindia,Traffic,anger,0.989681577,0.5554338259835225,0.36028890739971686,0.4908053197556821,0.723722756313101,0.5270218576831636,0.37229180634128245,0.968220328400823,0.7019518515406058
puzzledCrackers2,European Elections,22.32204,-163.73,10/18/2022 22:53,11/6/2022 3:26,#news #europarlament #slovensko #peace #europeanfashion #europeancat #evropskyparlament #travel #climatechange #europeancars #europ #europeans #italy,political,disgust,0.333553588,0.22682887471064597,0.463696814699166,0.9365348903689185,0.7147801433223466,0.9856135266232428,0.8985555659698645,0.8096413763023526,0.6885766225416508
goofyVenison9,Movie,45.93002,84.82815,11/1/2022 3:27,11/6/2022 4:21,#Pathaan #War,Summit,surprise,0.953138009,0.38055441927733724,0.20855044529285133,0.19589779826164563,0.19254142789425038,0.32655827563281536,0.6477182167453179,0.6999319626538687,0.7052607247337495
peskySwift9,Memorial Day,-61.3556,-172.366,10/31/2022 1:47,11/6/2022 6:34,#family #memes #redwhiteandblue #instagood #photography #remember #freedom #instagram #happymemorialday #neverforget #covid #honor #army #friends #sale #nyc #fireworks #newyork,Public holidays,sadness,0.943680316,0.5996586707248053,0.18768987866324074,0.2868167942534236,0.7145038357518063,0.3421194798254983,0.4528692592841723,0.9156070022242383,0.8342177804012085
hushedCurlew3,EdTech Summit,-80.4222,-28.2967,10/19/2022 20:00,11/6/2022 11:57,#EdTech #academy #education #experience #event #schoolsoftware #grandopening #summit,Summit,happy,0.299515018,0.8459969988238832,0.21361668886193905,0.42277310669600365,0.3550076413923394,0.8908048814109337,0.2443847947882327,0.14432111484229526,-0.23992696965409221
